time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
11042,1.53519227,0.16860219,0.20652722,0.17365339,0.0378949,3435,3499
11092,1.54369042,0.17038268,0.21031671,0.16920074,0.0757898,3453,3519
11142,1.55196404,0.17214888,0.21221145,0.18255869,0.0378949,3473,3540
11192,1.56088721,0.17407142,0.2141062,0.2270852,0.0378949,3498,3566
11242,1.57176031,0.17643566,0.21789569,0.18174086,0.07733654,3517,3587
11292,1.58063249,0.17840006,0.21789569,0.17810604,0,3537,3607
11342,1.58932722,0.18032517,0.21979043,0.17365339,0.0378949,3556,3627
11395,1.59780101,0.18221821,0.21979043,0.23153785,0,3582,3653
11446,1.6090994,0.18474226,0.23684314,0.2092746,0.34105412,3601,3681
11496,1.61906759,0.18714831,0.22357992,0.15902325,-0.27067787,3622,3695
11546,1.62682085,0.18891126,0.22547467,0.17365339,0.0378949,3641,3715
11596,1.63511448,0.19081361,0.22547467,0.18174086,0,3661,3735
11646,1.64397152,0.19284519,0.22926416,0.23153785,0.0757898,3686,3762
11696,1.65524549,0.19547617,0.2311589,0.18255869,0.0378949,3706,3783
11746,1.66413063,0.19756743,0.22926416,0.18255869,-0.0378949,3727,3803
11796,1.67301972,0.19964186,0.22168518,0.16029544,-0.15157961,3747,3819
